品类,品牌,产品,规格,爆款香型,天猫挂价,天猫单ml,配赠,天猫销量原始,达播价,抖音单ml,配赠.1,配赠（可带上机制主图）,抖音销量原始,功效词,一句话卖点,详情页宣传（截图）,小红书用户评价,包装图文件名
素颜霜,左颜右色,自然若真男士素颜霜,50g（单瓶 偏白色/偏肤色）/ 修颜霜2瓶（偏肤色 自然遮瑕适合黄黑皮）/ 素颜霜2瓶（偏白色 自然提亮不假白）/ 拍一发五尝鲜装（素颜霜小样2g*4）,偏白色（自然提亮不假白，适合偏白肤色）/ 偏肤色（自然遮瑕，适合黄黑皮）,"原价：¥89.9
秒杀价：¥55.89","原价单g：¥1.80/g
优惠价单g：¥1.12/g",拍一发五尝鲜装：素颜霜小样2g*4；,100万+,69.9,¥1.4/ml,素颜霜小样(偏白色)2g“4,,8.6万+,遮瑕、遮痘、自然提亮、防水防汗、服帖不卡粉、清爽不粘腻,"""易抹变帅遮瑕遮痘自然不假白"" —— 专为追求自然好肤色男士设计，解决暗沉、瑕疵明显与上妆假白问题，通过两种色号（偏白色/偏肤色）匹配实现防水防汗、自然遮瑕与服帖不卡粉，达成清爽不粘腻的伪素颜效果。",,"小红书博主评价为""郑恺同款国货BB霜""，遮瑕力中等、上脸不假面、防水防汗持妆约5-6h、对油痘肌、暗沉肌反响最积极。负面：色号仅2种（偏白/偏肤色），混合肤色或冷白皮选不到合适色；保湿度对干皮一般，需先打底；50g/¥55秒杀价偏低端、留香不足；少数反馈瓶口太小、用量不易控制、配色塑料感重。",素颜霜_13_cebf83481c.jpg
唇膏,马林戈茨,护唇精华,10ml,无味、薄荷、甜香、莫吉托、洋甘菊,"原价：¥168
优惠后：¥80.11","原价单ml：¥16.80 /ml
优惠价单ml：¥8.01 /ml","店铺活动满400赠价值118礼包
店铺活动满800赠价值170护手霜",3万+,65,¥6.5/ml,无,,2895,保湿、滋润、舒缓、抗皱、修护,"""护肤级长效保湿抗皱"" —— 专为干燥、起皮及有细纹的唇部肌肤设计，解决唇部干燥、刺痛及外观细纹问题，提供长效水润与多效舒缓修护，改善唇部肌肤状态。",,"被博主称作""夜间厚敷神器""，啫喱质地修护力强，淡化唇纹、改善起皮效果明显，常被对比科颜氏1号唇膏，胜在更持久不油。但黏腻感重像蜂蜜，睡觉粘头发；瓶口设计像药膏不能直接涂，要借唇刷；无香版本被嫌缺乏仪式感；¥80/10ml价格偏高，部分人觉得只在表面成膜不够滋润。",唇膏_2_98b677d99c.jpg
唇膏,科颜氏,润唇膏,15ml,/,原价¥125,¥8.33 /ml,赠高保湿霜14ml × 1,10万+,/,/,/,/,3566,保湿、滋润、舒缓、修护、柔软丰润,"""经典修护润唇膏"" —— 专为干燥、缺水双唇设计，解决唇部干裂、起皮等不适问题，深层滋润并修护唇部肌肤，令双唇恢复柔软丰润状态。",,"1号润唇膏经典款，凡士林+角鲨烷+维E打底，睡前厚敷效果最受好评，能修复死皮、做妆前打底。差评点很集中：质地偏油腻有""嘴上糊一层""感；管口非斜口设计涂抹不便；保湿持久度被吐槽要频繁补涂、更像唇油；价格相对开架凡士林偏贵被认为""智商税""；新版膏体变白、管顶不平有质量吐槽。",唇膏_3_bab837545c.jpg
唇膏,海洋至尊,保湿舒缓护唇膏,3.9g/支（银色款保湿舒缓 / 黑色款保湿变色）,/,原价：¥89,原价单g：¥22.82/g,/,5万+,39,¥10/ml,无,,48.2万,保湿、滋润、舒缓、淡纹、抗皱、淡化粗糙暗沉、亮唇色、修色,"""淡纹修色保湿护唇润现原生好气色"" —— 专为男士唇干起皮、唇色暗沉、唇纹明显困扰设计，解决唇部干燥粗糙与暗沉问题，通过DPHP与4重天然油萃实现8H长效保湿、4重天然油萃润泽舒护，原色银管润而不油、变色黑管温感调色提亮淡纹。",,"男士变色润唇膏在小红书讨论量不高，但可见笔记给到""易推开、像冰淇淋质地、上唇自然变粉提气色、男生用不违和""等好评，主打保湿不拔干、有淡淡花香。差评和疑问点是¥89定价在男士唇膏里偏贵，部分用户更愿意买¥39版本；变色幅度被认为""很淡""，期待明显口红色号的会失望；3.9g容量偏小；有用户提到对香味敏感的人会觉得味道明显；保湿力对严重唇炎不够。",唇膏_4_20cbd0f5f5.jpg
唇膏,柯岸,高保湿滋润护唇棒,2.8g（单支装）/ 双支装/ 三支装,/,"原价：¥59
优惠后：¥31.93","原价单g：¥21.07/g
优惠价单g：¥11.40/g",会员加赠积雪草面膜1片,2万+,/,/,/,/,/,补水、保湿、滋润、长效保湿、玻尿酸成分,"""一pa即合一抹润唇"" —— 专为干燥起皮、缺水唇部设计，解决唇部干裂粗糙问题，通过磁吸玻尿酸成分实现深层补水与长效滋润，达成柔润饱满的唇部肌肤状态。",,"小红书博主评价为""通勤男士唇棒平替""，磁吸盖颜值高、玻尿酸滋润度足、补水效果约3-4h；¥31秒杀价被打成口粮单品。负面：定价偏贵，论容量2.8g/¥31平均下来不算便宜；部分用户反馈成膜略黏不能马上戴口罩；舒缓修护对严重唇炎、唇周湿疹效果有限，配方相对基础。",唇膏_5_fbfa552b39.jpg
唇膏,柯岸,玻尿酸护唇棒,1.88g（高保湿淡纹升级）/ 3支（高保湿淡纹升级1.88g*3）,/,"原价：¥39.9
优惠后：¥17.58","原价单g：¥21.22/g
优惠价单g：¥9.35/g",/,1万+,19.9,¥10.58/ml,无,,80万+,保湿、淡纹、滋润、补水、淡化唇纹,"""小飞弹保湿淡纹滋润护唇"" —— 专为唇部干燥、唇纹明显困扰设计，解决唇部缺水起皮与唇纹问题，通过玻尿酸升级配方实现深层保湿与淡化唇纹，达成柔润光滑的唇部状态。",,"小红书反馈外形小巧""小飞弹""造型出片好，1.88g便携、玻尿酸保湿够用、淡纹效果有可见反馈；¥17.58新品价被誉为唇棒里的""性价比王""。负面：用量小耗速快约2-3周用完；滋润度仅适合轻度干燥、严重唇裂效果不足；部分用户反映气味略带塑胶感，且管口设计涂抹不便、容易折断。",唇膏_6_876d51a908.jpg
唇膏,LBR,澳洲坚果护唇膏,3.2g（无色保湿单支装）/ 6.4g（3.2g/支*2）/ 9.6g（3.2g/支*3）,/,"原价：¥69
优惠后：¥57.5","原价单g：¥21.56/g
优惠价单g：¥17.97/g",单笔实付满200赠吸油纸1盒；单笔实付满400赠香体露60g,7万+,58.6,¥18.31/ml,"满170元赠吸油纸1盒
满340元赠香体露1瓶",,1万+,保湿、滋润、淡化唇纹、防干裂、清爽不油、改善干燥,"""小蓝管润唇膏滋润淡唇纹"" —— 专为唇部干裂起皮、唇纹明显困扰设计，解决干燥唇部不适问题，通过澳洲坚果油等多效成分实现深层滋润与淡化唇纹，达成清爽不油的舒适唇感。",,"小红书博主称作""小蓝管""男士口粮唇膏，无色不挑性别、保湿4-6h表现稳定、对轻度干燥起皮恢复明显、淡化唇纹有可见反馈。负面：滋润度对严重唇炎、唇周湿疹效果有限；管口偏粗涂抹不易控制用量；3.2g/¥58价格高于普通男士唇膏；个别批次气味略偏蜡感。",唇膏_7_5602e4f05e.jpg
唇膏,左颜右色,润唇膏,3.1g（单支装）/ 双支装（第二支半价）/ 三支装/ 正常规格,/,"原价：¥19.9
优惠后：¥15.37","原价单g：¥6.42/g
优惠价单g：¥4.96/g",/,10万+,39.9,11.4/g,/,/,1.5万+,保湿、滋润、淡化唇纹、防干裂脱皮、提亮唇色、长效滋润,"""长效润双唇滋润干裂脱皮"" —— 专为唇部干裂脱皮、暗沉唇色困扰设计，解决唇部缺水起皮与唇纹明显问题，通过维E保湿配方实现提亮唇色、润而不腻、淡化唇纹与长效滋润的多效合一养护。",,"小红书博主反馈""国货男士平价唇膏""，¥15.37性价比突出、维E保湿对轻度干燥唇部恢复明显、淡化唇纹有可见反馈。负面：滋润度对严重唇炎、唇周湿疹效果有限；3.1g用量偏小、约2-3周用完；少数反馈管口偏粗、涂抹不易控制；包装塑料感强、不适合送礼。",唇膏_8_fc222dd159.jpg
唇膏,蓝系,保湿润唇膏,3g,/,"原价：¥89
优惠后：¥57.47","原价单g：¥29.6/g
优惠价单g：¥19.15g",赠保湿面膜1袋,3000+,59,19.6/g,/,/,30.9万+,保湿、滋润、改善干裂、淡化唇纹、修护屏障,"""金属磁吸设计·润而不油锁水保湿"" —— 专为唇部干燥、起皮及唇纹明显问题设计，解决传统矿物油润唇膏粘腻及越用越干的痛点，通过6重植物提取精华实现密集滋润与长效锁水，达成清爽水润、自然哑光的舒适唇部状态。",,,唇膏_9_b1e971324c.jpg
沐浴露,马林戈茨,沐浴露,250ml,朗姆酒香、佛手柑香、无间草木香,"原价：¥250
优惠后：¥177.47","原价单ml：¥1.00 /ml 
优惠价单ml：¥0.71 /ml","店铺活动满400赠价值118礼包
店铺活动满800赠价值173护手霜",2400+,/,/,,/,67,清洁、滋润,"""三款香型洁净柔滑"" —— 专为身体肌肤设计，解决日常清洁与换季干燥问题，通过绵密泡沫实现深层洁净与滋润保湿，洗后肌肤柔滑焕新，带来沉浸式香氛沐浴体验。",,"高互动笔记普遍称赞香味独特有辨识度，朗姆酒甜辣、佛手柑清新、无间草木中性高级，泡沫细腻洗后不假滑、敏感肌也能用。但留香争议大：有人说澡后数小时仍有余香，更多人反映30分钟到1小时就散；¥177/250ml被吐槽""贵价洗手液""；少数评价闻着像苹果汽水或觉得平平无奇。",沐浴露_2_02b0bff3f3.jpg
沐浴露,科颜氏,沐浴露,250ml,经典原香麝香调,"原价：¥190
优惠后：¥151.47","原价单ml：¥0.76 /ml 
 优惠价单ml：¥0.61 /ml",赠全身保湿护肤乳30ml*2,2万+,/,/,/,/,/,清洁、保湿、泡沫绵密、温和不紧绷,"""经典原香伪体香"" —— 专为追求洁净与持久留香的用户设计，解决沐浴后香气不足的问题，通过标志性麝香调打造萦绕撩人的专属体香，同时实现轻柔洁净与肌肤保湿不紧绷的沐浴体验。",,"主打经典麝香香调，干净神秘留香久，被称为""沐浴露里的香水""，氛围感拉满。含甘油+甜杏仁果提取物，温和不拔干、敏感肌可用。差评点：泡沫量偏少、清洁感不够""爽快""；麝香味偏小众，部分人觉得""老气""或像男士古龙水，接受度因人而异；250ml容量对沐浴露偏小、单价高性价比一般。",沐浴露_3_cf0986cfb7.jpg
沐浴露,loewe,沐浴露+身体乳+套装,"360ml (单瓶液体皂)

360ml+360ml (液体皂+身体乳套装)",番茄叶、牛至、常春藤,"原价：¥620 (单瓶) / ¥1305 (套装)

优惠后：¥558.9 (单瓶) / ¥1243.9 (套装)","原价单ml：¥1.72 /ml (620÷360)

优惠价单ml：¥1.55 /ml (558.9÷360)",/,8000+,/,/,/,/,/,清洁、呵护、芬芳、保湿、奢宠,"奢宠级香氛沐浴仪式"" —— 专为追求高阶沐浴体验的用户设计，解决普通清洁产品缺乏感官享受的问题，融合古希腊罗马沐浴灵感与精致玻璃瓶身设计，提供洁净、呵护与持久芬芳萦绕的多感官奢宠体验。",,"主打高端香氛沐浴体验，番茄叶香被夸""清新自然不甜腻、像地中海花园""，包装极简有艺术感、送礼有面子，沐浴露+身体乳叠加留香数小时堪比香水。差评最尖锐：价格被骂""沐浴露刺客""，700-1200元的定价远超清洁本身价值；牛至款香气小众""有药感/草药味""，接受度两极；身体乳保湿力被指中等、对干皮冬天不够用。",沐浴露_4_e3c3c3cfec.jpg
沐浴露,海洋至尊,控油净爽沐浴露,400ml（1瓶）/ 套装,/,原价：¥105 / 优惠后：¥55.37,原价单ml：¥0.26/ml / 优惠价单ml：¥0.14/ml,入会至高9件礼：洗发水30g+洁面露3g+冰沙霜3g等；券满100减30；下拉入会抢人才补贴大额券,30万+,/,/,/,/,6000+,控油、留香、保湿、清洁、改善起屑、减少痒感,"""洗走油腻汗臭全身清爽氛围香"" —— 专为男士夏日油腻、汗臭、又油又干肤质设计，解决紧绷干痒、肤质粗糙、黏腻不适与汗臭问题，通过专利控油科技实现24H留香、100%控油保湿、100%减少痒感、97%改善起屑。",,【海洋至尊 控油净爽沐浴露】小红书上以男士油痘肌人群为主，主打PCA锌+黄檗树皮+冰川海泥三合一控油配方。好评集中在控油效果显著（部分用户反馈连续使用后出油减少40%以上）、不紧绷、留香持久（木质海盐调，可持续数小时），不少博主称其从爆款变为'经典款'复购率高。差评/槽点：偏中性pH对极敏感肌不够友好；香味偏成熟，不喜欢木质调的男生会觉得'老气'；高位价段套装定价偏高，被认为性价比一般。,沐浴露_5_1c527f0047.jpg
沐浴露,海洋至尊,净痘控油香氛沐浴露,350ml,木质香 / 古龙香 / 海洋香,原价：¥158 / 优惠后：¥94.31,原价单ml：¥0.45/ml / 优惠价单ml：¥0.27/ml,入会加赠：洁面露小样*1+控油乳小样*1+冰沙霜小样*1；超大容量囤货装；3件更划算,10万+,¥129（两瓶）,¥0.18/ml,同款沐浴露60g*2+同款沐浴露8ml*5,,12.6万,控油、祛痘、平衡水油、净澈角质、清爽控油、净痘、留香,"""专研锁香精华舱72H控油留香"" —— 专为油性易长痘肌、混合性肌肤、中性偏干肌设计，解决出油闭痘、角质粗糙与体味问题，通过3款香型差异化配方与三段式留香技术实现72H久留香+净痘控油，覆盖控油净痘、净澈角质、净润控油三种功效。",,【海洋至尊 净痘控油香氛沐浴露】小红书阅读量较高的笔记主要将其定位为'背痘救星+体香神器'，主打控油、祛痘、去角质、除螨四合一以及大牌香氛留香（部分笔记宣称留香可达72小时）。好评点：背部痘痘改善明显、香氛高级不廉价、可干用搓痘部位再起泡。差评/注意：含去角质成分，红肿破溃的痘痘期或屏障受损/极敏感肌不建议使用，部分用户反馈香味对鼻子敏感人群偏冲，价格略高。,沐浴露_6_893858d4f5.jpg
沐浴露,海洋至尊,祛痘沐浴露,400ml（单瓶装）/ 多支装,木质果酸香,原价：¥81.2 / 优惠后：¥57.47,原价单ml：¥0.20/ml / 优惠价单ml：¥0.14/ml,入会至高8件礼：洗面奶3g+控油乳3g+冰沙霜3g等；券满80减10；买1送1果酸祛痘沐浴露,4万+,/,/,/,/,/,祛痘、控油、保湿、留香、温和不刺激、净肌,"""果酸清肌净油痘72H久留香"" —— 专为男士油痘肌、汗臭体味困扰设计，解决出油多、闭口痘与异味问题，通过水酷果酸专研科技实现28天控油祛痘、72H久留香，达成100%清爽控油、100%改善油痘、100%温和不刺激。",,【海洋至尊 祛痘沐浴露】小红书测评大多归类到男士油痘肌专属，主打'控油+祛痘+除螨'三效合一，含三重果酸和大牌香氛精华。好评：泡沫丰富易冲洗、香味淡雅持久、洗后清爽不紧绷甚至有滑嫩感，痘印淡化反馈较多。差评/槽点：pH偏弱碱性、表活配方对极干敏肌略显刺激；起效需要持续使用2周以上，急效感不强；多支装客单价偏高。,沐浴露_7_8cffc2bcd2.jpg
沐浴露,海洋至尊,美白澄净沐浴露,300ml,/,原价：¥89 / 优惠后：¥74.07,原价单ml：¥0.30/ml / 优惠价单ml：¥0.25/ml,【89/瓶】单瓶体验装；【79/瓶】两瓶装；搭配使用美白除螨【到手158元】,1万+,/,/,/,/,381,美白、亮肤、净爽、改善暗沉、淡黄、舒润,"""美白黑科技美白亮肤"" —— 专为男士暗黄黑皮、干燥粗糙、油腻异味肤质设计，解决肤色暗沉、油腻干糙与体味困扰，通过持证美白科技实现沁爽沐浴、自信亮白，达成净爽舒润的型男气场。",,【海洋至尊 美白澄净沐浴露】小红书上同类美白沐浴露笔记互动较高，海洋至尊该款被归类为'日常提亮型'，主打温和澄净、提亮肤色、保湿。好评：肤色稍显均匀、香味清新、不紧绷。差评/争议：美白效果偏温和，靠长期使用而非速效；部分用户认为含香精不适合极敏感肌；与控油线相比讨论度更低，'种草'内容不如祛痘款丰富。,沐浴露_8_a7b38584b7.jpg
沐浴露,海洋至尊,控油酷爽冰沙沐浴露,300ml,独特伊索菁柚香氛,原价：¥69 / 优惠后：¥57.07,原价单ml：¥0.23/ml / 优惠价单ml：¥0.19/ml,【冰爽一夏】沐浴露*1瓶装,2000+,/,/,/,/,441,控油、降温、净肤、清爽、留香、专利净肤成分,"""冰沙清爽净肤控油"" —— 专为夏日男士闷热油腻、汗臭粘腻肤质设计，解决夏日闷热难耐、运动汗臭难闻、出油粘腻与肌肤易油闷痘问题，通过专利净肤成分与冰沙凝润科技实现劲凉醒肤、净彻肌肤与持久留香。",,【海洋至尊 控油酷爽冰沙沐浴露】小红书博主主推'水杨酸能量仓'概念，含PCA锌、黄檗树皮提取物、冰川海泥矿物水。好评：冰沙清凉感强、夏天痘背改善快（多数用户两周见效）、男士油痘肌友好、获天猫金妆奖背书。差评/槽点：冬季使用偏凉、价格段偏高（部分组合售价1000+引发争议）、含水杨酸对皮肤屏障受损者不友好。,沐浴露_9_632afb3c6a.jpg
沐浴露,海洋至尊,三合一冰沙焕肤沐浴露,200mg（实标200ml便携装）,木质香,原价：¥82.3 / 优惠后：¥38.37,原价单ml：¥0.41/ml / 优惠价单ml：¥0.19/ml,入会至高5件礼：多效乳3g+洁面露3g+冰沙霜3g等；券满70减30,700+,39.9,¥0.19/ml,无,,4000+,清洁、控油、舒缓、留香、敏感肌可用、易冲洗不残留,"""运动出行随身装一瓶洗全身"" —— 专为男士运动、差旅与多场景洗护需求设计，解决头发蓬塌、脸部紧绷与身体黏腻问题，通过三合一冰沙焕肤配方实现72H持久留香、98%72H长效控油、100%肌肤摆脱光滑、100%敏感肌可用。",,【海洋至尊 三合一冰沙焕肤沐浴露】小红书定位为'小容量便携爆款'，主打香氛+保湿+嫩肤三效合一，香型多样（碧野悠悠、欣怡幽香、恬静清香等）。好评：香味被誉为'私人香氛师'留香明显、泡沫绵密SPA感强、洗后不需要再涂身体乳、性价比高。差评：200ml便携装相对正装单ml价偏高，部分用户认为'三合一'概念噱头大于实效，香型偏甜对男性用户接受度有限。,沐浴露_10_91b273abc0.jpg
沐浴露,柯岸,海洋清肌磨砂沐浴露,400ml（单瓶装）/ 沐浴露400g*2第二瓶更优惠/ 洗沐套装：果酸沐浴露*1+氨基酸洗发水*1,清新海洋香调,"原价：¥99
优惠后：¥51.55","原价单ml：¥0.25/ml
优惠价单ml：¥0.13/ml",入会加赠积雪草面膜28g+下单即赠洗发水6g*2+小喷菇精华乳1g*2,5万+,/,/,/,/,2000+,去角质、磨砂、清洁、平滑肌肤、留香、自带体香,"""减少老废角质细腻平滑肌肤"" —— 专为身体角质粗糙、皮肤暗沉困扰设计，解决毛囊角化、肤质不均与体味问题，通过果酸磨砂颗粒与海洋清新香调实现深层去角质与持久留香，达成丝滑柔嫩的肌肤状态。",,"小红书博主评价""果酸磨砂+海洋香""思路新颖，洗后皮肤明显光滑、去鸡皮去角质效果突出、香氛清爽留香约4-6h；男生粗糙肤质回购意愿高。负面：磨砂颗粒对敏感肌、湿疹皮易刺激泛红，建议每周1-2次；果酸成分需注意防晒；瓶口按压设计偏松，运输有渗漏反馈；价格折后约¥51性价比一般。",沐浴露_11_863696ea69.jpg
沐浴露,柯岸,氨基酸香氛沐浴慕斯,300ml（单瓶装）/ 2瓶装/ 3瓶装,六大植萃特调香氛,"原价：¥99
优惠后：¥58.05","原价单ml：¥0.33/ml
优惠价单ml：¥0.19/ml",买即赠洗发水6g*2；会员加赠积雪草面膜28g,1万+,59,¥0.196/ml,无,,100+,云感泡沫、温和净肤、清洁、留香、保湿,"""云感泡沫温和净肤六大植萃特调香氛"" —— 专为追求高品质沐浴体验的男士设计，解决日常清洁与体味需求，通过氨基酸慕斯泡沫与六大植萃香氛实现温和净肤与持久留香，达成绵密细腻的沉浸式香氛沐浴体验。",,"小红书博主称作""颜值+香氛""沐浴慕斯典范，云感泡沫触感细腻、植萃香调清爽留香约4-6h、敏感肌可用；男生送礼场景反响较好。负面：300ml/¥58单价偏贵、用量不省；慕斯泡沫清洁力对运动出汗或重油身体偏弱，需要叠加搓澡；个别用户反映喷头气压不稳、剩余底量倒不出。",沐浴露_12_ce44d3abbd.jpg
沐浴露,LBR,香氛祛痘沐浴露,360g（沐浴露木质香调 保湿留香）/ 洁面120g+沐浴露360g/ 洗发水360g+沐浴露360g+香皂100g,木质香调,"原价：¥129
优惠后：¥102.9","原价单g：¥0.36/g
优惠价单g：¥0.29/g",单笔实付满200赠吸油纸1盒；单笔实付满400赠香体露60g,2万+,109,¥0.30/ml,"满170元赠吸油纸1盒
满340元赠香体露1瓶",,9000+,清洁、祛痘、留香、保湿、改善后背痘、香氛沐浴,"""多效沐浴露全身留香后背祛痘"" —— 专为身体痘痘、油腻汗臭困扰设计，解决后背痘与体味问题，通过木质香调与祛痘成分实现深层清洁与持久留香，达成肌肤清爽与体香兼备的沐浴体验。",,"小红书博主誉为""后背祛痘+留香""沐浴露代表，木质香清爽、留香约4-6h、对身体痘痘、闷痘有可见改善；360g大容量¥102.9性价比可。负面：祛痘成分对面部痘痘并非主战场、面部用慎重；干皮、敏感肌身体长期用易拔干；香气偏沉稳，喜欢清新海洋香的人可能不爱；按压头偶尔不出胶。",沐浴露_13_8ae57b6649.jpg
沐浴露,Chillmore,氨基酸香氛沐浴露,300ml / 600ml,海岸烟火（水生木质调）/ 茶歌（芳香木质调）/ 森林长椅（木质馥奇调）/ 街角花摊（花香果香调）/ 月下梅里（水生调）/ 游船慢旅（绿叶水生调）/ 暖阳煎茶（柑橘木质调）/ 夏夜虫鸣（芳香木质调）,"原价：¥79.9
优惠后：¥63.37","原价单ml：¥0.27/ml（300ml）
优惠价单ml：¥0.21/ml（300ml）",/,100万+,139,¥0.19/ml,无,,1万+,清洁、留香、温和、保湿、香氛沐浴、氨基酸表活,"""且悠香氛沐浴露温和清洁多场景留香"" —— 专为追求高品质沐浴体验的男女用户设计，解决日常清洁与体味需求，通过氨基酸表活与8款香氛配方实现温和洁净与持久留香，达成沉浸式情绪沐浴体验。",,"小红书博主誉为""小众香氛沐浴露开盒级""，颜值高、香型多达8款情绪香味叙事好评，泡沫绵密、清洁温和、留香约4-6h，¥63性价比可。负面：300ml容量偏少、用量不省；按压头偶尔卡顿；个别香型如木质馥奇调""暖阳煎茶""被反映味道偏沉，与宣传图片调性不符；持久度对体味重的人略显不够。",沐浴露_14_ceb9d4519d.jpg
沐浴露,亲爱男友,持久留香沐浴露,500ml（单瓶装）,西班牙sensefeel植萃浪漫橙调,"原价：¥58
优惠后：¥41.03","原价单ml：¥0.12/ml
优惠价单ml：¥0.08/ml",/,3000+,/,/,/,/,,清新留香、控油、净肤、清洁、清爽不油腻、靠近你香氛,"""清新留香控油净肤靠近你男士香氛沐浴露"" —— 专为男士追求贴身留香与日常控油净肤需求设计，解决出油黏腻、汗味与体味平淡的困扰，通过西班牙sensefeel植萃香氛与温和清洁配方实现持久留香与净澈舒爽，带来贴近他人的自信香氛体验。",,"小红书博主称作""男友香沐浴露""代表，橙子+雪松调性温暖好闻、留香约5-6h，500ml/¥41大容量性价比突出，男生送礼/陪伴场景反响最好。负面：清洁力对运动后重油腻肌肤偏弱；保湿度对干性身体偏不够，洗后易紧绷；少数反映留香偏成熟非清新清淡风、年轻男生可能不爱；按压泵设计偶尔卡顿、浴室潮湿环境下易掉色。",沐浴露_15_c6cd439112.jpg
沐浴露,理然,莫吉托沐浴露,400ml（单瓶 量少不推荐 清爽果木香）/ 400ml*2 (2件8折)/ 莫吉托沐浴露400ml+莫吉托洗发水400ml（型男3件套：洁面+洗护组合）/ 莫吉托沐浴露400ml+杜松子控油蓬松洗护套装/ 莫吉托沐浴露400ml+莫吉托控油洗护套装,清爽果木香（莫吉托）/ 橘调木质香（烟熏红橙）,"原价：¥119.9
优惠后：¥64.87","原价单ml：¥0.30/ml（400ml）
优惠价单ml：¥0.16/ml（400ml）",满赠,70万+,/,/,/,/,/,清洁、留香、控油、温和不紧绷、清爽果木香、持久留香,"""满屋留香清爽净肤"" —— 专为追求持久留香与日常清洁需求的男士设计，解决体味不持久与出油黏腻问题，通过莫吉托清爽果木香与温和净肤配方实现满屋留香与清爽净肤，达成贴身留香的男士沐浴体验。",,"小红书博主称作""满屋留香神器""，莫吉托清爽果木香被誉为男生口粮香型，留香约5-6h，¥64.9/400ml性价比突出。负面：清洁力对运动后重油身体偏弱；保湿度对干皮身体不够，洗后易紧绷；少数反馈香味偏假""廉价香精""感、与日韩沙龙香相比差距明显；按压头偶尔气压不稳，最后约30g底部倒不出。",沐浴露_16_1e3030079f.jpg
沐浴露,左颜右色,沐浴露,400ml（单瓶/双支装/2支装）,高级蔚蓝香,"原价：¥59.9
优惠后：¥47.37","原价单ml：¥0.15/ml
优惠价单ml：¥0.12/ml",/,60万+,/,/,/,/,/,12H持久留香、控油、保湿、去背痘、香水级香氛、清爽不黏腻,"""比香水还好闻高级蔚蓝香"" —— 专为男士追求持久留香与日常清洁需求设计，解决体味平淡、出油黏腻与背痘困扰，通过12H持久留香+控油保湿+去背痘三重功效实现香水级沐浴体验，达成沉浸式蔚蓝香沐浴。",,"小红书博主反馈""高级蔚蓝香""清爽好闻，蔚蓝调留香约5-6h、控油保湿+去背痘思路明确，¥47.37/400ml性价比突出。负面：清洁力对运动后重油身体偏弱；保湿度对干皮身体不够，洗后易紧绷；少数反馈香味与""宝格丽蔚蓝""距离明显，被视作香精勾兑感；按压头偶尔卡顿、最后底部约30g剩余倒不出。",沐浴露_17_6d1970ffaf.jpg
沐浴露,魅蓝,沐浴露,400ml（魅蓝香氛净爽沐浴露）,木质调（蔚蓝木质调）,"原价：¥109.9
优惠后：¥85.08","原价单ml：¥0.27/ml
优惠价单ml：¥0.21/ml",/,1万+,89.9,¥0.22/ml,/,,106万+,深透清洁、控油、爽肤、持久留香、香氛沐浴、清爽,"""用魅蓝做魅男深透清洁控油爽肤"" —— 专为男士追求高品质沐浴体验设计，解决出油黏腻、体味平淡与日常清洁需求，通过SAZA高端香氛配方实现深透清洁、控油爽肤与持久留香，达成贴身留香的男士魅力沐浴。",,"小红书博主反馈""许某某代言魅蓝香氛""沐浴露，蔚蓝木质调被誉为""宝格丽蔚蓝平价替代""，留香约5-6h，控油爽肤思路明确。负面：香味与""宝格丽蔚蓝""距离明显、被部分用户视作香精勾兑；清洁力对运动后重油身体偏弱；保湿度对干皮身体不够，洗后易紧绷；400ml/¥85单价偏贵；按压头偶尔气压不稳。",沐浴露_18_4620d8d3d5.jpg
其他,马林戈茨,身体保湿乳液,250ml,佛手柑香 / 朗姆酒香,"原价：¥360
优惠后：¥207.27","原价单ml：¥1.44 /ml 
优惠价单ml：¥0.83 /ml","店铺活动满400赠价值118礼包
店铺活动满800赠价值172护手霜",100+,/,/,/,/,44,保湿、滋润、清爽不黏腻、质地轻盈、快速吸收,"""轻盈保湿不黏腻"" —— 专为身体肌肤设计，解决身体肌肤干燥、厚重不适等问题，质地轻盈易吸收，提供长效保湿滋润，同时带来清新佛手柑或慵懒朗姆酒香氛体验。",,"朗姆酒、佛手柑香型最受推崇，被夸""温暖辛香像随身香水""，质地清爽好推、吸收快不黏腻，搭配同系列沐浴露叠香效果加分。槽点是：留香比想象中短，几小时后基本闻不到；250ml卖¥207算贵价身体乳，挤压泵头有出量不稳的反馈；对极干肌肤滋润度偏轻，冬天可能不够用，更适合春夏。",其他_2_f7786e1b16.jpg
